param_a,param_b,weight,CV_num,tn,fp,fn,tp,file_name
5.0,2.0,1.0,0.0,14.0,1.0,2.0,22.0,exps_lab_lfa_number_of_rules_var_tuning_weigh_actual_1.0_conf_A_CV_1_rule_5_var_per_rule_3.ftt
5.0,2.0,1.0,1.0,11.0,1.0,0.0,26.0,exps_lab_lfa_number_of_rules_var_tuning_weigh_actual_1.0_conf_A_CV_7_rule_5_var_per_rule_2.ftt
5.0,2.0,1.0,2.0,13.0,1.0,0.0,24.0,exps_lab_lfa_number_of_rules_var_tuning_weigh_actual_1.0_conf_A_CV_7_rule_5_var_per_rule_3.ftt
5.0,2.0,1.0,3.0,12.0,3.0,2.0,21.0,exps_lab_lfa_number_of_rules_var_tuning_weigh_actual_1.0_conf_A_CV_1_rule_5_var_per_rule_2.ftt
5.0,2.0,1.0,4.0,12.0,0.0,0.0,26.0,exps_lab_lfa_number_of_rules_var_tuning_weigh_actual_1.0_conf_A_CV_5_rule_5_var_per_rule_3.ftt
5.0,2.0,1.0,5.0,16.0,2.0,2.0,18.0,exps_lab_lfa_number_of_rules_var_tuning_weigh_actual_1.0_conf_A_CV_2_rule_5_var_per_rule_2.ftt
5.0,2.0,1.0,6.0,10.0,1.0,1.0,26.0,exps_lab_lfa_number_of_rules_var_tuning_weigh_actual_1.0_conf_A_CV_9_rule_5_var_per_rule_2.ftt
5.0,2.0,1.0,7.0,12.0,0.0,0.0,26.0,exps_lab_lfa_number_of_rules_var_tuning_weigh_actual_1.0_conf_A_CV_3_rule_5_var_per_rule_3.ftt
5.0,2.0,1.0,8.0,18.0,3.0,1.0,16.0,exps_lab_lfa_number_of_rules_var_tuning_weigh_actual_1.0_conf_A_CV_0_rule_5_var_per_rule_2.ftt
5.0,2.0,1.0,9.0,11.0,1.0,0.0,26.0,exps_lab_lfa_number_of_rules_var_tuning_weigh_actual_1.0_conf_A_CV_4_rule_5_var_per_rule_3.ftt
5.0,3.0,1.0,0.0,13.0,2.0,1.0,23.0,exps_lab_lfa_number_of_rules_var_tuning_weigh_actual_1.0_conf_A_CV_6_rule_5_var_per_rule_2.ftt
5.0,3.0,1.0,1.0,12.0,0.0,0.0,26.0,exps_lab_lfa_number_of_rules_var_tuning_weigh_actual_1.0_conf_A_CV_2_rule_5_var_per_rule_3.ftt
5.0,3.0,1.0,2.0,13.0,1.0,0.0,24.0,exps_lab_lfa_number_of_rules_var_tuning_weigh_actual_1.0_conf_A_CV_9_rule_5_var_per_rule_3.ftt
5.0,3.0,1.0,3.0,12.0,3.0,2.0,21.0,exps_lab_lfa_number_of_rules_var_tuning_weigh_actual_1.0_conf_A_CV_8_rule_5_var_per_rule_3.ftt
5.0,3.0,1.0,4.0,12.0,0.0,0.0,26.0,exps_lab_lfa_number_of_rules_var_tuning_weigh_actual_1.0_conf_A_CV_8_rule_5_var_per_rule_2.ftt
5.0,3.0,1.0,5.0,17.0,1.0,2.0,18.0,exps_lab_lfa_number_of_rules_var_tuning_weigh_actual_1.0_conf_A_CV_3_rule_5_var_per_rule_2.ftt
5.0,3.0,1.0,6.0,8.0,3.0,0.0,27.0,exps_lab_lfa_number_of_rules_var_tuning_weigh_actual_1.0_conf_A_CV_4_rule_5_var_per_rule_2.ftt
5.0,3.0,1.0,7.0,12.0,0.0,0.0,26.0,exps_lab_lfa_number_of_rules_var_tuning_weigh_actual_1.0_conf_A_CV_0_rule_5_var_per_rule_3.ftt
5.0,3.0,1.0,8.0,20.0,1.0,0.0,17.0,exps_lab_lfa_number_of_rules_var_tuning_weigh_actual_1.0_conf_A_CV_5_rule_5_var_per_rule_2.ftt
5.0,3.0,1.0,9.0,12.0,0.0,0.0,26.0,exps_lab_lfa_number_of_rules_var_tuning_weigh_actual_1.0_conf_A_CV_6_rule_5_var_per_rule_3.ftt
