param_a,param_b,weight,CV_num,tn,fp,fn,tp,file_name
5.0,5.0,0.0,0.0,15.0,0.0,24.0,0.0,exps_lab_lfa_senSpe_2_weigh_actual_0.33_conf_A_CV_8_rule_5_var_per_rule_5.ftt
5.0,5.0,0.0,1.0,12.0,0.0,26.0,0.0,exps_lab_lfa_senSpe_2_weigh_actual_0.33_conf_A_CV_1_rule_5_var_per_rule_5.ftt
5.0,5.0,0.0,2.0,14.0,0.0,24.0,0.0,exps_lab_lfa_senSpe_2_weigh_actual_0.0_conf_A_CV_4_rule_5_var_per_rule_5.ftt
5.0,5.0,0.0,3.0,15.0,0.0,23.0,0.0,exps_lab_lfa_senSpe_2_weigh_actual_0.0_conf_A_CV_3_rule_5_var_per_rule_5.ftt
5.0,5.0,0.0,4.0,12.0,0.0,26.0,0.0,exps_lab_lfa_senSpe_2_weigh_actual_0.33_conf_A_CV_5_rule_5_var_per_rule_5.ftt
5.0,5.0,0.0,5.0,18.0,0.0,20.0,0.0,exps_lab_lfa_senSpe_2_weigh_actual_0.33_conf_A_CV_4_rule_5_var_per_rule_5.ftt
5.0,5.0,0.0,6.0,11.0,0.0,27.0,0.0,exps_lab_lfa_senSpe_2_weigh_actual_0.66_conf_A_CV_4_rule_5_var_per_rule_5.ftt
5.0,5.0,0.0,7.0,12.0,0.0,26.0,0.0,exps_lab_lfa_senSpe_2_weigh_actual_0.33_conf_A_CV_6_rule_5_var_per_rule_5.ftt
5.0,5.0,0.0,8.0,21.0,0.0,17.0,0.0,exps_lab_lfa_senSpe_2_weigh_actual_0.0_conf_A_CV_0_rule_5_var_per_rule_5.ftt
5.0,5.0,0.0,9.0,12.0,0.0,26.0,0.0,exps_lab_lfa_senSpe_2_weigh_actual_0.66_conf_A_CV_1_rule_5_var_per_rule_5.ftt
5.0,5.0,0.33,0.0,15.0,0.0,2.0,22.0,exps_lab_lfa_senSpe_2_weigh_actual_0.0_conf_A_CV_9_rule_5_var_per_rule_5.ftt
5.0,5.0,0.33,1.0,12.0,0.0,1.0,25.0,exps_lab_lfa_senSpe_2_weigh_actual_0.0_conf_A_CV_6_rule_5_var_per_rule_5.ftt
5.0,5.0,0.33,2.0,13.0,1.0,0.0,24.0,exps_lab_lfa_senSpe_2_weigh_actual_0.0_conf_A_CV_2_rule_5_var_per_rule_5.ftt
5.0,5.0,0.33,3.0,14.0,1.0,2.0,21.0,exps_lab_lfa_senSpe_2_weigh_actual_0.33_conf_A_CV_0_rule_5_var_per_rule_5.ftt
5.0,5.0,0.33,4.0,12.0,0.0,3.0,23.0,exps_lab_lfa_senSpe_2_weigh_actual_0.66_conf_A_CV_8_rule_5_var_per_rule_5.ftt
5.0,5.0,0.33,5.0,17.0,1.0,4.0,16.0,exps_lab_lfa_senSpe_2_weigh_actual_0.0_conf_A_CV_7_rule_5_var_per_rule_5.ftt
5.0,5.0,0.33,6.0,10.0,1.0,1.0,26.0,exps_lab_lfa_senSpe_2_weigh_actual_0.0_conf_A_CV_5_rule_5_var_per_rule_5.ftt
5.0,5.0,0.33,7.0,12.0,0.0,2.0,24.0,exps_lab_lfa_senSpe_2_weigh_actual_0.0_conf_A_CV_8_rule_5_var_per_rule_5.ftt
5.0,5.0,0.33,8.0,19.0,2.0,2.0,15.0,exps_lab_lfa_senSpe_2_weigh_actual_0.33_conf_A_CV_7_rule_5_var_per_rule_5.ftt
5.0,5.0,0.33,9.0,12.0,0.0,1.0,25.0,exps_lab_lfa_senSpe_2_weigh_actual_0.0_conf_A_CV_1_rule_5_var_per_rule_5.ftt
5.0,5.0,0.66,0.0,14.0,1.0,2.0,22.0,exps_lab_lfa_senSpe_2_weigh_actual_0.66_conf_A_CV_0_rule_5_var_per_rule_5.ftt
5.0,5.0,0.66,1.0,12.0,0.0,0.0,26.0,exps_lab_lfa_senSpe_2_weigh_actual_0.66_conf_A_CV_7_rule_5_var_per_rule_5.ftt
5.0,5.0,0.66,2.0,13.0,1.0,0.0,24.0,exps_lab_lfa_senSpe_2_weigh_actual_0.66_conf_A_CV_2_rule_5_var_per_rule_5.ftt
5.0,5.0,0.66,3.0,12.0,3.0,0.0,23.0,exps_lab_lfa_senSpe_2_weigh_actual_0.33_conf_A_CV_9_rule_5_var_per_rule_5.ftt
5.0,5.0,0.66,4.0,11.0,1.0,2.0,24.0,exps_lab_lfa_senSpe_2_weigh_actual_0.66_conf_A_CV_3_rule_5_var_per_rule_5.ftt
5.0,5.0,0.66,5.0,17.0,1.0,1.0,19.0,exps_lab_lfa_senSpe_2_weigh_actual_0.66_conf_A_CV_6_rule_5_var_per_rule_5.ftt
5.0,5.0,0.66,6.0,9.0,2.0,1.0,26.0,exps_lab_lfa_senSpe_2_weigh_actual_0.66_conf_A_CV_5_rule_5_var_per_rule_5.ftt
5.0,5.0,0.66,7.0,12.0,0.0,0.0,26.0,exps_lab_lfa_senSpe_2_weigh_actual_0.66_conf_A_CV_9_rule_5_var_per_rule_5.ftt
5.0,5.0,0.66,8.0,19.0,2.0,1.0,16.0,exps_lab_lfa_senSpe_2_weigh_actual_0.33_conf_A_CV_2_rule_5_var_per_rule_5.ftt
5.0,5.0,0.66,9.0,12.0,0.0,0.0,26.0,exps_lab_lfa_senSpe_2_weigh_actual_0.33_conf_A_CV_3_rule_5_var_per_rule_5.ftt
